season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Mohammad Rizwan,Mohammad Rizwan,15,14,24,0,1,107.14,False,False,"{'wickets': 1, 'runs': 29}",4.2, b Curran,"bowled him, Rizwan's dragged on! Fullish, slanting into a wide-ish line, inviting the cover drive. Nips back in off the pitch, and Rizwan, going hard with a diagonal bat, can only get his inside edge to it",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Babar Azam,Babar Azam,32,28,58,2,0,114.28,True,False,"{'wickets': 3, 'runs': 84}",11.1,c &amp; b Rashid,"<B>caught and bowled!</B> That's the vital scalp, and Rashid has bagged it! it's another googly, another big wind-up from Babar, looking to take it on in the second half of the innings, but the ball gripped and turned back into his attempted cut/slash through the off-side, and looped back to the bowler off the splice! Huge turning point",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Mohammad Haris,Mohammad Haris,8,12,15,1,0,66.66,False,False,"{'wickets': 2, 'runs': 45}",7.1,c Stokes b Rashid,"and he strikes first ball! #MCGsobig strikes again. Tossed up fairly slow, and Haris steps out and tries to take on Stokes, who seems to be stationed a good few yards inside the rope at long-on. Can't really middle it, and Stokes moves in a little more to take a straightforward catch",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Shan Masood,Shan Masood,38,28,46,2,1,135.71,False,False,"{'wickets': 5, 'runs': 121}",16.3,c Livingstone b Curran,"<B>flicked in the air to Livingstone at midwicket!</B> Don't play roulette with Sam Curran! Masood shimmied to leg, tempting Curran to reconsider his options, he simply bowled his best ball, shaping away on a tight off-stump line, and the lofted cross-bat clip didn't have enough on it. A simple take in the deep, and Dr Death has done the trick once more...",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Iftikhar Ahmed,Iftikhar Ahmed,0,6,8,0,0,0.00,False,False,"{'wickets': 4, 'runs': 85}",12.2,c &dagger;Buttler b Stokes,"<B>nibbles outside off, thin edge to Buttler!</B> Line and length from Stokes, extra lift off the seam, a thin but audible nick and that's a huge five minutes for the balance of play! More evidence, though, that this pitch is offering plenty to the seamers... and Pakistan have plenty of those!",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Shadab Khan,Shadab Khan,20,14,26,2,0,142.85,False,False,"{'wickets': 6, 'runs': 123}",17.2,c Woakes b Jordan,"<B>another slap across the line, another miscue!</B> Into the pitch once more from Jordan, Shadab tries to impart some oomph through the rising ball, but it's a simple take for Woakes at mid-off, on the edge of the ring. This innings is starting to splutter now",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Mohammad Nawaz(3),Mohammad Nawaz,5,7,11,0,0,71.42,False,False,"{'wickets': 7, 'runs': 129}",18.3,c Livingstone b Curran,"<B>fires in the full length, chipped to Livingstone in the deep!</B> Curran is making his play for man of the tournament here! Nawaz thought this was his release ball, tailing into his toes, but with these vast square boundaries, he needed more elevation than that to beat the man in the deep.",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Mohammad Wasim(1),Mohammad Wasim,4,8,12,0,0,50.00,False,False,"{'wickets': 8, 'runs': 131}",19.3,c Livingstone b Jordan,"slower ball, back of a length, <B>hoisted to Livingstone in the deep once more!</B> Wasim had to take it on, wide long-on was lurking, ready to pounce, he had to make good ground but held on well while falling forward. Pakistan's innings is sliding away now",
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Shaheen Shah Afridi,Shaheen Shah Afridi,5,3,8,1,0,166.66,False,True,{},,not out,,
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,PAK,1,Haris Rauf,Haris Rauf,1,1,3,0,0,100.00,False,True,{},,not out,,
2022,1298179,ENG v PAK,PAK,ENG,Melbourne Cricket Ground,Melbourne,Australia,ENG,2,JC Buttler,Jos Buttler,26,17,33,3,1,152.94,True,False,"{'wickets': 3, 'runs': 45}",5.3,c &dagger;Mohammad Rizwan b Haris Rauf,"now the edge! Finally the edge! Naseem kept going past it, and perhaps he was moving the ball too much. This is quick, in the corridor, back of a length, and he hits the pitch hard and gets it to nip away just a little bit, while getting it to bounce steeply. Jabs at a back-foot defensive, and the edge carries comfortably to Rizwan",
